Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2025-08-12 20:54:12,GG-Shot Cornix (All Signals),,"BingX Futures, Bitget Futures, Binance Futures, ByBit USDT, KuCoin Futures",SKL/USDT,All Targets Achieved,Cross (10.0X),Long,4,3 Hours 42 Minutes,62.0326,0,0,0.02273,0,0.0213-0.02273,0.022015,0.0232,0.02367,0.02414,0.02555,,,,,,,
2025-08-12 11:30:24,GG-Shot Cornix (All Signals),,"Binance Futures, ByBit USDT, OKX Futures, KuCoin Futures, Bitget Futures, BingX Futures",STRK/USDT,Stopped Out,Cross (10.0X),Short,0,5 Hours 18 Minutes,-46.2606,0,0,0.1297,0,0.1264-0.133,0.1297,,,,,,,,,,,0.1357
2025-08-12 11:30:14,GG-Shot Cornix (All Signals),,"Bitget Futures, ByBit USDT, KuCoin Futures, OKX Futures, Binance Futures, BingX Futures",W/USDT,Stopped Out,Cross (10.0X),Short,0,8 Hours 49 Minutes,-52.3229,0,0,0.08523999999999998,0,0.08237-0.08811,0.08524,,,,,,,,,,,0.0897
2025-08-12 11:12:12,GG-Shot Cornix (All Signals),,"Binance Futures, BingX Futures, OKX Futures, KuCoin Futures, Bitget Futures, ByBit USDT",PYTH/USDT,Stopped Out,Cross (10.0X),Short,0,4 Hours 44 Minutes,-45.2675,0,0,0.1215,0,0.1183-0.1247,0.1215,,,,,,,,,,,0.127
2025-08-12 11:00:54,GG-Shot Cornix (All Signals),,"BingX Futures, KuCoin Futures, Bitget Futures, OKX Futures, Binance Futures, ByBit USDT",STORJ/USDT,Stopped Out,Cross (10.0X),Short,0,6 Hours 17 Minutes,-39.7633,0,0,0.27035,0,0.2643-0.2764,0.27035,,,,,,,,,,,0.2811
2025-08-12 11:00:43,GG-Shot Cornix (All Signals),,"Bitget Futures, KuCoin Futures, BingX Futures, ByBit USDT, HyperLiquid Futures, Binance Futures",SEI/USDT,Stopped Out,Cross (10.0X),Short,0,9 Hours 17 Minutes,-59.3563,0,0,0.30915000000000004,0,0.3003-0.318,0.30915000000000004,,,,,,,,,,,0.3275
2025-08-12 11:00:24,GG-Shot Cornix (All Signals),,"HyperLiquid Futures, BingX Futures, ByBit USDT, Binance Futures, OKX Futures, KuCoin Futures, Bitget Futures",APT/USDT,Stopped Out,Cross (10.0X),Short,0,4 Hours 54 Minutes,-35.2864,0,0,4.591,0,4.508-4.674,4.591,,,,,,,,,,,4.753
2025-08-12 09:54:17,GG-Shot Cornix (All Signals),,"BingX Futures, KuCoin Futures, Binance Futures, Bitget Futures, ByBit USDT",SKL/USDT,Stopped Out,Cross (10.0X),Short,0,9 Hours 56 Minutes,-47.5733,0,0,0.020810000000000002,0,0.02027-0.02135,0.020810000000000002,,,,,,,,,,,0.0218
2025-08-12 09:49:16,GG-Shot Cornix (All Signals),,"Bitget Futures, Binance Futures, KuCoin Futures, ByBit USDT, BingX Futures",RUNE/USDT,Stopped Out,Cross (10.0X),Short,0,5 Hours 34 Minutes,-36.6906,0,0,1.3900000000000001,0,1.364-1.416,1.3900000000000001,,,,,,,,,,,1.441
2025-08-12 06:18:14,GG-Shot Cornix (All Signals),,"BingX Futures, OKX Futures, KuCoin Futures, Binance Futures, Bitget Futures, ByBit USDT",ENJ/USDT,Stopped Out,Cross (10.0X),Short,0,11 Hours 7 Minutes,-40.9761,0,0,0.070895,0,0.06908-0.07271,0.070895,,,,,,,,,,,0.0738
2025-08-12 05:30:27,GG-Shot Cornix (All Signals),,"Bitget Futures, OKX Futures, ByBit USDT, Binance Futures",QTUM/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,10 Hours 54 Minutes,-34.8223,0,0,2.082,0,2.082-2.163,2.1224999999999996,2.06,,,,,,,,,,2.186
2025-08-11 23:01:00,GG-Shot Cornix (All Signals),,"Bitget Futures, Binance Futures, KuCoin Futures, BingX Futures, ByBit USDT",BAKE/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,21 Hours 17 Minutes,-39.0316,0,0,0.08433333333333333,0,0.0836-0.088,0.08579999999999999,0.0823,,,,,,,,,,0.0894
