Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2025-08-13 14:00:22,GG-Shot Cornix (All Signals),,"OKX Futures, KuCoin Futures, ByBit USDT, Bitget Futures, BingX Futures, Binance Futures",NOT/USDT,Buy,Cross (10.0X),Short,0,0 Minutes,0.0,0,0,,0,0.002116-0.002231,0.0021735,0.002053,0.001989,0.001926,0.001735,,,,,,,0.002298
2025-08-13 11:00:20,GG-Shot Cornix (All Signals),,"OKX Futures, KuCoin Futures, ByBit USDT, Bitget Futures, BingX Futures, Binance Futures",STORJ/USDT,Buy,Cross (10.0X),Long,0,3 Hours 0 Minutes,-2.771,0,0,0.2887,0,0.276-0.2887,0.28235,0.2969,0.3052,0.3134,0.3381,,,,,,,0.2681
2025-08-13 10:30:37,GG-Shot Cornix (All Signals),,"OKX Futures, KuCoin Futures, ByBit USDT, Bitget Futures, BingX Futures, Binance Futures",NEO/USDT,Buy,Cross (10.0X),Long,0,3 Hours 30 Minutes,-4.7149,0,0,6.787,0,6.263-6.787,6.525,6.943,7.099,7.255,7.724,,,,,,,6.119
2025-08-13 10:30:26,GG-Shot Cornix (All Signals),,"KuCoin Futures, BingX Futures, Binance Futures, ByBit USDT, Bitget Futures",ROSE/USDT,Sell(1/4),Cross (10.0X),Long,1,3 Hours 30 Minutes,12.5081,0,0,0.03098,0,0.02881-0.03098,0.029894999999999998,0.0316,0.03222,0.03284,0.03469,,,,,,,0.02817
2025-08-13 10:30:15,GG-Shot Cornix (All Signals),,"BingX Futures, Binance Futures, KuCoin Futures, ByBit USDT, Bitget Futures",ID/USDT,Sell(1/4),Cross (10.0X),Long,1,3 Hours 30 Minutes,5.1568,0,0,0.1818,0,0.1723-0.1818,0.17704999999999999,0.1845,0.1873,0.1901,0.1984,,,,,,,0.1696
2025-08-13 10:00:53,GG-Shot Cornix (All Signals),,"KuCoin Futures, ByBit USDT, Bitget Futures, BingX Futures, Binance Futures",BAKE/USDT,Buy,Cross (10.0X),Long,0,4 Hours 0 Minutes,-3.2787,0,0,0.0915,0,0.0874-0.0915,0.08945,0.093,0.0944,0.0959,0.1003,,,,,,,0.086
2025-08-13 10:00:37,GG-Shot Cornix (All Signals),,"OKX Futures, Binance Futures, BingX Futures, ByBit USDT, KuCoin Futures, Bitget Futures",EGLD/USDT,Sell(1/4),Cross (10.0X),Long,1,4 Hours 0 Minutes,5.2806,0,0,16.57,0,15.7-16.57,16.134999999999998,16.74,16.91,17.09,17.61,,,,,,,15.53
2025-08-13 10:00:21,GG-Shot Cornix (All Signals),,"KuCoin Futures, BingX Futures, Bitget Futures, Binance Futures, ByBit USDT",COTI/USDT,Sell(2/4),Cross (10.0X),Long,2,4 Hours 0 Minutes,23.9134,0,0,0.05959,0,0.05511-0.05959,0.05735,0.0606,0.06162,0.06263,0.06507,,,,,,,0.05417
2025-08-13 09:00:19,GG-Shot Cornix (All Signals),,"Binance Futures, KuCoin Futures, ByBit USDT, Bitget Futures, BingX Futures",CAKE/USDT,Buy,Cross (10.0X),Long,0,5 Hours 0 Minutes,0.8892,0,0,2.924,0,2.815-2.924,2.8695,2.979,3.035,3.091,3.257,,,,,,,2.762
2025-08-13 08:30:17,GG-Shot Cornix (All Signals),,"BingX Futures, Bitget Futures, Binance Futures, KuCoin Futures, ByBit USDT",CHR/USDT,Sell(3/4),Cross (10.0X),Long,3,5 Hours 30 Minutes,16.8986,0,0,0.1006,0,0.0961-0.1006,0.09834999999999999,0.1015,0.1024,0.1033,0.106,,,,,,,0.0952
2025-08-13 08:24:14,GG-Shot Cornix (All Signals),,"KuCoin Futures, OKX Futures, BingX Futures, ByBit USDT, Binance Futures, Bitget Futures",ENJ/USDT,Sell(1/4),Cross (10.0X),Long,1,5 Hours 36 Minutes,17.4327,0,0,0.07615,0,0.07272-0.07615,0.074435,0.07729,0.07843,0.07958,0.083,,,,,,,0.07163
2025-08-13 08:00:27,GG-Shot Cornix (All Signals),,"KuCoin Futures, ByBit USDT, Binance Futures, OKX Futures, Bitget Futures, BingX Futures",STRK/USDT,Sell(3/4),Cross (10.0X),Long,3,6 Hours 0 Minutes,44.0341,0,0,0.1408,0,0.1336-0.1408,0.1372,0.1436,0.1464,0.1492,0.1577,,,,,,,0.1309
2025-08-13 03:51:10,GG-Shot Cornix (All Signals),,"KuCoin Futures, HyperLiquid Futures, BingX Futures, Bitget Futures, ByBit USDT, Binance Futures, OKX Futures",TIA/USDT,Sell(1/4),Cross (10.0X),Long,1,10 Hours 9 Minutes,43.8841,0,0,1.8803333333333332,0,1.807-1.895,1.851,1.969,2.043,2.117,2.339,,,,,,,1.737
2025-08-13 03:44:15,GG-Shot Cornix (All Signals),,"OKX Futures, KuCoin Futures, BingX Futures, Binance Futures, ByBit USDT, Bitget Futures",PYTH/USDT,Sell(1/4),Cross (10.0X),Long,1,10 Hours 16 Minutes,26.7592,0,0,0.13026666666666667,0,0.1251-0.1313,0.12819999999999998,0.1337,0.1361,0.1385,0.1409,,,,,,,0.1228
2025-08-13 00:30:21,GG-Shot Cornix (All Signals),,"Binance Futures, Bitget Futures, OKX Futures, ByBit USDT",QTUM/USDT,Sell(2/4),Cross (10.0X),Long,2,13 Hours 30 Minutes,22.6248,0,0,2.2173333333333334,0,2.159-2.229,2.194,2.253,2.277,2.301,2.373,,,,,,,2.135
2025-08-12 21:00:23,GG-Shot Cornix (All Signals),,"KuCoin Futures, OKX Futures, BingX Futures, Binance Futures, ByBit USDT, Bitget Futures",ZIL/USDT,Sell(2/4),Cross (10.0X),Long,2,17 Hours 0 Minutes,25.0693,0,0,0.012033333333333333,0,0.0117-0.0121,0.0119,0.0123,0.0124,0.0126,0.013,,,,,,,0.0116
2025-08-12 20:54:12,GG-Shot Cornix (All Signals),,"BingX Futures, Bitget Futures, Binance Futures, ByBit USDT, KuCoin Futures",SKL/USDT,All Targets Achieved,Cross (10.0X),Long,4,3 Hours 42 Minutes,62.0326,0,0,0.02273,0,0.0213-0.02273,0.022015,0.0232,0.02367,0.02414,0.02555,,,,,,,
2025-08-12 20:30:37,GG-Shot Cornix (All Signals),,"BingX Futures, Binance Futures, Bitget Futures, ByBit USDT, KuCoin Futures",ALT/USDT,Sell(1/4),Cross (10.0X),Long,1,17 Hours 30 Minutes,2.7763,0,0,0.03872,0,0.03656-0.03872,0.03764,0.04008,0.04143,0.04279,0.04685,,,,,,,0.03528
