Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2025-08-13 08:01:23,Filtered Signals AI,,"KuCoin Futures, ByBit USDT, Binance Futures, OKX Futures, Bitget Futures, BingX Futures",STRK/USDT,Cancelled,Cross (10.0X),Long,0,38 Minutes,0.0,0,0,,0,0.1336-0.1408,0.1372,,,,,,,,,,,
2025-08-11 22:02:08,Filtered Signals AI,,"ByBit USDT, BingX Futures, OKX Futures, Binance Futures, Bitget Futures, KuCoin Futures",BOME/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,21 Hours 55 Minutes,-58.7267,0,0,0.001822,0,0.001822-0.001932,0.001877,0.001776,,,,,,,,,,0.00198
2025-08-09 07:01:26,Filtered Signals AI,,"OKX Futures, BingX Futures, ByBit USDT, Binance Futures, Bitget Futures",IOST/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,2 Days 23 Hours 13 Minutes,-25.5286,0,0,0.003783333333333333,0,0.003668-0.003841,0.0037545,0.003893,,,,,,,,,,0.003618
2025-08-07 23:51:03,Filtered Signals AI,,"KuCoin Futures, BingX Futures, ByBit USDT, Binance Futures, Bitget Futures",VET/USDT,All Targets Achieved,Cross (10.0X),Long,4,5 Days 9 Hours 15 Minutes,51.7467,0,0,0.024188333333333333,0,0.02313-0.0244,0.023765,0.02481,0.02523,0.02565,0.02607,,,,,,,
2025-08-07 14:01:56,Filtered Signals AI,,"Bitget Futures, Binance Futures, ByBit USDT, OKX Futures, KuCoin Futures, BingX Futures",CHZ/USDT,All Targets Achieved,Cross (10.0X),Long,4,1 Days 22 Hours 27 Minutes,50.6118,0,0,0.040043333333333334,0,0.03861-0.04033,0.03947,0.04091,0.04149,0.04207,0.04381,,,,,,,
2025-08-07 08:33:06,Filtered Signals AI,,"Binance Futures, KuCoin Futures, BingX Futures, Bitget Futures, OKX Futures, ByBit USDT",GRT/USDT,All Targets Achieved,Cross (10.0X),Long,4,6 Days 0 Hours 31 Minutes,51.2814,0,0,0.09326,0,0.09043-0.09326,0.091845,0.09485,0.09645,0.09804,0.10283,,,,,,,
2025-08-06 18:06:12,Filtered Signals AI,,"Bitget Futures, HyperLiquid Futures, OKX Futures, BingX Futures, ByBit USDT, Binance Futures, KuCoin Futures",SOL/USDT,All Targets Achieved,Cross (10.0X),Long,4,6 Days 3 Hours 13 Minutes,72.2217,0,0,168.85500000000002,0,163.93-169.84,166.885,173.58,177.31,181.05,192.26,,,,,,,
2025-08-05 12:01:32,Filtered Signals AI,,"HyperLiquid Futures, Binance Futures, ByBit USDT, OKX Futures, KuCoin Futures, BingX Futures, Bitget Futures",JUP/USDT,All Targets Achieved,Cross (10.0X),Long,4,7 Days 14 Hours 59 Minutes,96.6324,0,0,0.47215000000000007,0,0.4586-0.4857,0.47215,0.4964,0.5071,0.5178,0.5498,,,,,,,
2025-08-05 12:01:15,Filtered Signals AI,,"HyperLiquid Futures, KuCoin Futures, Bitget Futures, ByBit USDT, OKX Futures, BingX Futures, Binance Futures",APT/USDT,All Targets Achieved,Cross (10.0X),Long,4,3 Days 17 Hours 7 Minutes,65.1538,0,0,4.2745,0,4.217-4.332,4.2745,4.406,4.479,4.553,4.774,,,,,,,
2025-08-05 10:50:03,Filtered Signals AI,,"KuCoin Futures, ByBit USDT, Bitget Futures, Binance Futures, OKX Futures",BAND/USDT,Stopped Out,Cross (10.0X),Long,0,16 Hours 33 Minutes,-40.7818,0,0,0.6498,0,0.6324-0.6672,0.6497999999999999,,,,,,,,,,,0.6233
2025-08-05 10:01:27,Filtered Signals AI,,"KuCoin Futures, Bitget Futures, ByBit USDT, Binance Futures",BEL/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,12 Hours 1 Minutes,-33.611,0,0,0.2581,0,0.2487-0.2581,0.2534,0.2615,,,,,,,,,,0.2454
2025-08-04 22:01:09,Filtered Signals AI,,"KuCoin Futures, OKX Futures, Binance Futures, BingX Futures, ByBit USDT, Bitget Futures",ZIL/USDT,Stopped Out,Cross (10.0X),Long,0,1 Days 6 Hours 3 Minutes,-33.1366,0,0,0.011015,0,0.01079-0.01124,0.011015,,,,,,,,,,,0.01065
